间隔天数	样本数	命中搭配数	搭配概率
-29	481823	254	0.000527165
-28	491627	248	0.000504447
-27	485681	230	0.000473562
-26	477105	234	0.000490458
-25	481413	200	0.000415444
-24	487121	252	0.000517325
-23	512920	256	0.000499103
-22	521878	287	0.000549937
-21	554322	271	0.000488886
-20	549336	280	0.000509706
-19	548161	298	0.000543636
-18	558957	311	0.000556393
-17	583556	344	0.000589489
-16	589573	335	0.000568208
-15	618844	419	0.000677069
-14	656694	490	0.000746162
-13	652639	479	0.000733943
-12	670156	456	0.000680439
-11	681703	457	0.00067038
-10	703585	478	0.000679378
-9	748889	529	0.00070638
-8	804596	605	0.00075193
-7	898153	721	0.000802759
-6	944685	803	0.000850019
-5	1003600	973	0.00096951
-4	1114133	1180	0.00105912
-3	1249163	1382	0.001106341
-2	1484511	2093	0.001409892
-1	2634444	4852	0.001841755
0	40566555	75044	0.001849898
1	2628957	4852	0.001845599
2	1487223	2093	0.001407321
3	1248290	1382	0.001107115
4	1115643	1180	0.001057686
5	1007689	973	0.000965576
6	946119	803	0.00084873
7	902028	721	0.00079931
8	810708	605	0.000746261
9	754102	529	0.000701497
10	710499	478	0.000672767
11	687911	457	0.00066433
12	679326	456	0.000671254
13	661095	479	0.000724555
14	662501	490	0.000739622
15	629513	419	0.000665594
16	601098	335	0.000557313
17	593918	344	0.000579205
18	573016	311	0.000542742
19	560847	298	0.000531339
20	561653	280	0.000498528
21	566141	271	0.000478679
22	535557	287	0.000535891
23	522916	256	0.000489562
24	501268	252	0.000502725
25	498608	200	0.000401117
26	494400	234	0.000473301
27	498660	230	0.000461236
28	507621	248	0.000488553
29	498767	254	0.000509256
