购买次序差	样本数	命中搭配数	搭配概率
-29	294077	144	0.000489668
-28	311965	173	0.000554549
-27	332397	201	0.000604699
-26	355753	194	0.000545322
-25	381245	231	0.00060591
-24	408744	235	0.000574932
-23	438995	258	0.000587706
-22	472599	261	0.000552265
-21	509971	304	0.000596112
-20	551323	338	0.000613071
-19	597602	368	0.000615794
-18	647974	376	0.00058027
-17	703892	498	0.000707495
-16	766600	500	0.000652231
-15	837457	573	0.000684214
-14	918899	659	0.000717163
-13	1012827	739	0.000729641
-12	1120814	1017	0.000907376
-11	1246576	1000	0.000802197
-10	1395358	1339	0.00095961
-9	1574625	1573	0.000998968
-8	1788383	1966	0.001099317
-7	2050040	2317	0.001130222
-6	2374440	3176	0.001337579
-5	2788348	4329	0.001552532
-4	3322497	7069	0.002127617
-3	4022398	5678	0.001411596
-2	4926772	9469	0.001921948
-1	6034311	12113	0.002007354
1	6053527	12113	0.002000982
2	4955423	9469	0.001910836
3	4051228	5678	0.00140155
4	3349145	7069	0.002110688
5	2811919	4329	0.001539518
6	2394638	3176	0.001326297
7	2067255	2317	0.00112081
8	1803596	1966	0.001090045
9	1587970	1573	0.000990573
10	1407083	1339	0.000951614
11	1256352	1000	0.000795955
12	1128785	1017	0.000900969
13	1019545	739	0.000724833
14	924537	659	0.000712789
15	842292	573	0.000680287
16	770647	500	0.000648805
17	707328	498	0.000704058
18	650807	376	0.000577744
19	600073	368	0.000613259
20	553615	338	0.000610533
21	511969	304	0.000593786
22	474508	261	0.000550043
23	440832	258	0.000585257
24	410577	235	0.000572365
25	383035	231	0.000603078
26	357562	194	0.000542563
27	334141	201	0.000601542
28	313616	173	0.00055163
29	295571	144	0.000487193
